ST,AGEP,COW,SCHL,SEX,WKHP,YOEP,ANC1P,DECADE,INDP,PINCP,POBP,RAC2P
4,56,8,18,1,20,1996,750,6,8680,35700,217,49
4,45,1,16,1,40,1995,750,6,5380,30000,217,49
4,39,NA,16,2,NA,1995,750,6,NA,0,217,49
4,39,3,21,1,40,1981,750,5,7870,34000,217,49
5,64,NA,16,2,NA,1985,999,5,NA,16000,217,49
5,58,NA,16,2,NA,1995,750,6,NA,0,217,49
5,57,1,16,1,40,1994,750,6,5080,60000,217,49
5,58,1,16,2,20,1977,750,4,5170,5300,217,49
5,28,5,19,1,NA,1988,750,5,9670,0,217,49
5,50,1,23,1,35,1981,750,5,7870,34300,217,49
5,44,1,21,2,25,1979,750,4,7870,11900,217,49
5,58,NA,13,2,NA,1976,750,4,NA,0,217,49
5,39,5,22,2,40,1978,750,4,8190,70000,217,49
5,29,3,21,1,20,2010,750,7,7870,1600,217,49
5,16,NA,12,1,NA,2013,750,7,NA,0,217,49
5,61,NA,11,1,NA,2011,999,7,NA,0,217,49
6,65,NA,21,2,NA,2002,750,7,NA,8200,217,49
6,68,NA,19,1,NA,1993,750,6,NA,8200,217,49
6,49,7,22,2,50,1998,750,6,8680,160000,217,49
6,51,7,16,1,50,1998,750,6,8680,160000,217,49
6,64,1,19,2,NA,1980,750,5,8080,71100,217,49
6,17,NA,14,2,NA,1999,999,6,NA,0,217,49
6,69,6,21,1,32,1990,750,6,7590,80001,217,49
6,65,8,22,2,8,1990,750,6,6380,190,217,49
6,34,6,23,1,40,1990,750,6,6970,2900,217,49
6,29,1,21,1,40,1987,750,5,3390,42100,217,49
6,29,1,21,2,NA,2012,750,7,9290,0,217,49
6,67,6,16,2,NA,1982,750,5,5570,8500,217,49
6,85,NA,9,2,NA,1973,750,4,NA,10100,217,49
6,36,1,18,1,45,1977,750,4,5275,56060,217,49
6,39,1,21,2,40,1975,750,4,6990,170100,217,49
6,43,6,23,1,12,1975,750,4,7780,21000,217,49
6,56,2,24,2,60,1995,750,6,7870,77500,217,49
6,79,NA,19,2,NA,1980,750,5,NA,17700,217,49
6,34,6,22,2,40,2003,750,7,7290,40000,217,49
6,45,1,21,2,40,1986,750,5,3590,100000,217,49
6,44,1,24,1,40,1987,750,5,7390,120000,217,49
6,66,NA,12,2,NA,1985,750,5,NA,7800,217,49
6,29,1,18,2,30,1998,750,6,8980,12000,217,49
6,71,NA,21,2,NA,1967,750,3,NA,80800,217,49
6,58,8,22,1,40,1982,750,5,7380,15000,217,49
6,57,NA,20,2,NA,1982,750,5,NA,0,217,49
6,55,2,23,2,40,1973,750,4,8190,120000,217,49
6,54,7,21,1,40,1988,750,5,6670,30000,217,49
6,50,6,22,1,56,2000,750,7,8080,348000,217,49
6,45,NA,16,2,NA,2000,750,7,NA,0,217,49
6,17,NA,14,1,NA,2000,750,7,NA,0,217,49
6,71,6,21,1,NA,1975,750,4,5580,40000,217,49
6,66,3,21,2,60,1975,750,4,9370,30300,217,49
6,43,1,21,1,40,1975,750,4,6970,50000,217,49
6,12,NA,10,2,NA,2005,999,7,NA,NA,217,49
6,43,NA,21,2,NA,1996,750,6,NA,0,217,49
6,13,NA,10,2,NA,2010,999,7,NA,NA,217,49
6,47,1,21,1,40,1998,750,6,7380,100000,217,49
6,47,NA,21,2,NA,1998,750,6,NA,0,217,49
6,17,NA,15,1,NA,1998,750,6,NA,0,217,49
6,37,NA,21,1,NA,2012,750,7,NA,70000,217,49
6,33,NA,21,2,NA,2012,750,7,NA,0,217,49
6,85,NA,21,1,NA,1964,750,3,NA,12500,217,49
6,47,NA,21,2,NA,1970,750,4,NA,16100,217,49
6,40,1,23,1,60,1976,750,4,7970,481000,217,49
6,45,6,16,2,40,1990,750,6,8680,25000,217,49
